clean_comment,sentiment,rate
giày đẹp ghê ây rất ưng chúc cửa hàng làm ăn phát đạt,POSITIVE,5
from hơi nhỏ chất lượng sản phẩm tạm được thời gian giao hàng rất nhanh,POSITIVE,4
áo chất khá ổn tuy nhiên form dành cho các bạn 40kg,POSITIVE,4
vải mỏng quá nhưng màu thì rất đẹp hình,POSITIVE,4
hộp đẹp sản phẩm chất lượng,POSITIVE,5
hàng bt,POSITIVE,4
mua ở ngoài chợ đắt hơn,POSITIVE,4
so với giá tiền thì phải nói là ngoài sự mong đợi,POSITIVE,5
áo đẹp vải đẹp mặc rất mát,POSITIVE,5
vải quá mỏng sản phẩm rất kém,NEGATIVE,1
chất vải chán,NEGATIVE,2
rất ưng ạ,POSITIVE,5
cửa hàng tư vấn nhiệt tình sẽ ủng hộ cửa hàng dài dài,NEUTRAL,3
hàng đẹp ak,POSITIVE,4
áo dày dặn chất đẹp,POSITIVE,5
hơi cộc so với mình thời gian giao hàng rất nhanh,POSITIVE,4
váy hơi ngắn lúc giơ tay,NEUTRAL,3
son lên màu yêu chết mất mỗi cái không lì như ngh uống nước vài lần trôi sạch sẽ à,POSITIVE,4
sản phẩm rất tốt và đẹp giống hình,POSITIVE,5
tốt vải ổn,POSITIVE,4
tất dày dặn hình sắc nét,POSITIVE,5
giao hàng nhanh chóng đóng gói sản phẩm rất đẹp và chắc chắn,POSITIVE,5
chất lượng thì được,POSITIVE,4
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt rất đáng tiền rất đáng tiền thời gian giao hàng rất nhanh,POSITIVE,5
giaoo hàng nhanh nữaa,NEUTRAL,3
mặc rất vừa có điều quai không tháo rời được,NEUTRAL,3
50 sao luôn,POSITIVE,5
mi nh mă quâ trơn nhiê rô giơ đô sang hoa la ca nh cho mơ me,POSITIVE,4
đẹp mỏng quá,NEUTRAL,3
cửa hàng nhiệt tình dễ thương,POSITIVE,4
hơi nhẹ,NEUTRAL,3
chất lượng kém vải cứng không mềm đường may ẩu,NEGATIVE,1
đây chỉ là góp ý và không nỡ để cửa hàng bị rate thấp nên vẫn cố cho sao,NEUTRAL,3
chấm 10,POSITIVE,4
mẫu mã nhyw hình,POSITIVE,5
hang không giong hinh,NEGATIVE,2
chất lượng sản phẩm tạm được cổ áo không giống hình nhận áo hơi thất vọng đường may sơ sài so với giá áo chưa hợp lý hi vọng cửa hàng nâng cao chất lượng tốt hơn,NEGATIVE,2
mình sẽ ủng hộ cửa hàng lâu dài,POSITIVE,4
áo phom rất to và dài chất không được đẹp lắm,NEGATIVE,2
áo hơi mỏng nhưng với giá tiền thì người khá xinh,POSITIVE,4
chất lượng sản phẩm tuyệt vời chất kiểu len trơn mình rất thích,POSITIVE,5
áo đẹp lắm na,POSITIVE,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt thời gian giao hàng rất nhanh,POSITIVE,5
chưa mang giày đã bị súc chỉ giày ưa nhìn người tốt,NEUTRAL,3
cửa hàng cho hỏi giờ máy bị lỗi thì bảo hành sao ạ,POSITIVE,4
đóng gói sản phẩm rất đẹp,POSITIVE,4
hơi chủ quan và thất vọng quá,NEGATIVE,1
dây dài thòng mà không có chỗ rút dây như áo khác mặc vô ngực ở trên áo thòng tít xuống rốn vãi,NEGATIVE,1
chất lượng sản phẩm tuyệt vời nhưng logo đặt không được thẳng lắm,POSITIVE,4
đường may áo quá xấu chất cứng đường may ẩu,NEGATIVE,1
kiểu váy lỏng lẻo cột vai mặc khá nguy hiểm,NEGATIVE,2
ưng ơi là ưng,POSITIVE,5
rất đáng tiền áo rất đẹp chất vải mặc rất mát,POSITIVE,5
hàng đẹp lắm cửa hàng ơi,POSITIVE,5
tạm cho chất lượng thì chưa đánh giá được,POSITIVE,5
đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền,POSITIVE,5
bỏ merries dùng pampers thôi,POSITIVE,4
nhưng vẫn đẹp,POSITIVE,5
cửa hàng phục vụ rất tốt đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền thời gian giao hàng rất nhanh,POSITIVE,4
cửa hàng cho hẳn mỗi áo màu,NEUTRAL,3
nhưng lớp trong áo cứng quá,POSITIVE,4
chất lượng quá tuyệt vời cửa hàng giao nhiều màu em thích lắm hihi chất ổn thất cả đều ổn,POSITIVE,5
chúc cửa hàng cuối tuần vui vẻ,POSITIVE,4
sao,NEUTRAL,3
rất đáng tiền hàng ổn lắm cửa hàng sẽ tiếp tục ủng hộ cửa hàng,POSITIVE,5
ra ngoài quày kem bắt còn trả thêm lần tiền nữa,NEUTRAL,3
form body vải mịn đẹp giá hạt dẻ,POSITIVE,5
cám ơn cửa hàng nhiều nhé,POSITIVE,4
kẹp đuôi khỉ thì bị gãy và bàn chải thì không xài được pin,NEGATIVE,1
so với giá tạm chấp nhận được,NEUTRAL,3
chờ đợi hàng mỏi mòn nhận được váy không có khoá đằng sau,NEGATIVE,1
cửa hàng giao mình màu không giống mẫu mẫu caro vàng trắng còn của mình thì caro vàng xám buồn thật,NEUTRAL,3
thơ gian giao ha người lâu hơn cửa hàng đa no,NEUTRAL,3
chất lượng sản phẩm tuyệt vời cửa hàng phục vụ rất tốt thời gian giao hàng rất nhanh nhưng hàg bikini mà đóg gói không kính đáo gj het ah,POSITIVE,4
đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh,POSITIVE,5
áo đã bẩn còn lỗi chỉ,NEGATIVE,1
nói chung là ổn,NEUTRAL,3
cửa hàng phục vụ rất tốt đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh chất lượng sản phẩm tuyệt vời,POSITIVE,5
bao bì gói cẩn thận,NEUTRAL,3
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời cửa hàng phục vụ rất tốt cửa hàng phục vụ rất tốt thời gian giao hàng rất nhanh rất đáng tiền,POSITIVE,5
đẹp thật ý hàng qc chứ không hàng vn ạ cho chất lượng,POSITIVE,5
cửa hàng đóng gói sản phẩm kém không đáng tiền,NEGATIVE,2
hàng đẹp cửa hàng giao nhanh em shipper dễ thương,POSITIVE,5
áo quá rẻ và đẹp,POSITIVE,5
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời rất đáng tiền cửa hàng phục vụ rất tốt,POSITIVE,5
hàng đẹp hơn ảnh,POSITIVE,5
áo đẹp from rộng chất vải rất là đẹp luôn ý sẽ ủng hộ cửa hàng lâu dài,POSITIVE,5
giày nhìn chuẩn đẹp,POSITIVE,5
ao đe lam cửa hàng em se ung ho them,POSITIVE,5
va đe ma đe anh đe,POSITIVE,5
mô hình captain american màu sắt đẹp chất nhựa cứng không giống iron man đỏ lúc đầu mua của cửa hàng,POSITIVE,4
may nhỏ xay không duoc,NEGATIVE,1
vải bình thường tiền nào vải ấy không sai,NEUTRAL,3
chất bt không dày dễ xù lông sau giặt,NEGATIVE,2
chưa sử dụng nhưng vẫn cho vì giao hàng nhanh,POSITIVE,5
đóng gói sản phẩm đẹp mắt,POSITIVE,4
chất lượng sản phẩm tuyệt vời sản phẩm như hình vải mát đường may cẩn thận,POSITIVE,5
tuy nhiên mua giá rẻ hơn bình thường mà vẫn được ăn mức 229k menu có mức giá này là mức thứ,POSITIVE,4
sản phẩm nhận được khá là ổn,POSITIVE,4
song nhân viên hơi thiếu nhiệt tình khi tư vấn cho khách,NEUTRAL,3
áo đẹp lắm ạ,POSITIVE,5
áo hơi mỏng size áo bé chỉ người bé mới mặc vừa,NEUTRAL,3
cửa hàng rất nhiệt tình và rep inbox siêu nhanh lần sau mình sẽ ủng hộ tiếp,POSITIVE,5
chất lượng sản phẩm tuyệt vời váy đẹp rẻ,POSITIVE,5
trừ sao,NEUTRAL,3
sẽ mua lại khi cần,POSITIVE,5
chăn mịn mềm không bị rụng lông,POSITIVE,5
cửa hàng phục vụ rất tốt thời gian giao hàng rất nhanh hơi nhăn nhưg khá ổn,POSITIVE,4
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền thời gian giao hàng rất nhanh,POSITIVE,5
mà mua của cửa hàng xong qua cửa hàng kia coi bán có 95k áo thôi ạ,NEGATIVE,2
áo đẹp so với giá nhưng size hơi nhỏ,POSITIVE,4
mùi chanh hay nhất,NEUTRAL,3
thường khi mua đôi này size 39 vừa với chân luôn nhưng hôm nay size giày 39 mà như size 40 quá rộng luôn bạn nào muốn mua giày nhớ hỏi cửa hàng chiều dài của giày nhé,NEGATIVE,1
cây này màu đen nhé rất chắc chắn,POSITIVE,4
chán trước khi mua thì kiến đầy mua về chưa dùng thì kiến nó trốn hết chắc nó ngửi thấy mùi sản phẩm,NEGATIVE,1
màu bạc không giống hình,NEGATIVE,2
do có cái hình người màu đỏ trùng nền không nổi,POSITIVE,4
sản phẩm rất tốt chủ cửa hàng đáng yêu,POSITIVE,5
rất không đáng tiền rất không đáng tiền,NEGATIVE,1
chất lượng sản phẩm kém form áo nhỏ không giống hình chất vải nỉ mỏng mịn,NEGATIVE,1
chất lượng sản phẩm tuyệt vời,POSITIVE,5
áo thun phông cổ tròn vải dày,POSITIVE,4
love jenny,POSITIVE,5
mã giảm giá không nhập được nên hơi hụt hẫng,NEUTRAL,3
đóng gói bị rất lồi cả bỉm ra ngoài,NEGATIVE,2
không đúng với size áo thông thường đâu,NEGATIVE,2
áo giống hình nhưng chất vải là phi bóng,POSITIVE,4
hộp màu bị méo và hơi rách,NEUTRAL,3
quá thất vọng,NEGATIVE,1
rất đẹp luôn hê hê,POSITIVE,5
nếu có thể sẽ mua tiếp nữa,POSITIVE,5
giá tiền phù hợp với chất lượng,POSITIVE,4
hàng chất đẹp,POSITIVE,5
váy chất mát mặc thích lắm ạ,POSITIVE,5
vải đẹp đường may người rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh cửa hàng phục vụ rất tốt,POSITIVE,5
mình đánh giá sao vì trước khi gửi hàng cửa hàng không kiểm tra sản phẩm,NEGATIVE,1
đóng gói xấu,NEGATIVE,2
mong được đổi,NEGATIVE,2
chất vải đẹp dáng khá đẹp,POSITIVE,5
cửa hàng phục vụ rất kém,NEUTRAL,3
cho cô chủ vì rất chu đáo với khách hàng lại còn có quà nữa,POSITIVE,5
rất đáng tiền sản phẩm cửa hàng rẻ mà đẹp nữa chứ,POSITIVE,5
chất lượng sản phẩm tuyệt vời áo không dày không mỏng mặc mát giống hình 90 form nhỏ eo 65cm 50kg mặc vừa,POSITIVE,5
áo quá mỏng lun,NEUTRAL,3
áo màu này ở ngoài màu đậm hơn không đẹp,NEUTRAL,3
vơ gia tiê như vâ thi châ lươ người vâ la châ nhâ đươ,POSITIVE,4
quan chat cai dui va mong quá size cua cửa hàng chat hon kich co nguoi mac,NEGATIVE,2
cửa hàng phục vụ khá tốt chất lượng sản phẩm tuyệt vời,POSITIVE,4
chất lượng ổn lắm,POSITIVE,4
vải mỏng mà mịn đóg gói tạm được,POSITIVE,4
nhưng hơi thất vọng,NEGATIVE,2
tất cả điều ổn trừ áo hai dây là không ưng xíu nào,NEUTRAL,3
mă râ thi ch va thoa ma,POSITIVE,5
nhìn như,NEGATIVE,2
chỉ sợ không vừa nhưng cuối cùng lại vừa xinh,POSITIVE,5
rất đáng tiền ở ngoài đẹp hơn trên hình luôn,POSITIVE,5
màu trùng nhau nhiều quá,NEUTRAL,3
ủng hộ hết tiền luôn hehe,POSITIVE,5
cạnh của kính không được mượt cho lắm bảo full màn nhưng vẫn bị thiếu tí,NEGATIVE,2
ha người na châ va không đươ tô giă đa phai ra rô ca ma cam đâ không đươ đe,NEGATIVE,2
áo mới mà dính mực nói chung tiền nào của đó chất lượng sản phẩm tạm được,NEGATIVE,2
rất đẹp to nhưng mà đường chỉ có vài chỗ đứt nhưng người không ảnh hưởng gì lắm,POSITIVE,4
hang ổn,POSITIVE,4
đáng tiền mua nhé,POSITIVE,5
rát ưng luôn ạ,POSITIVE,5
thời gian giao hàng rất nhanh đóng gói sản phẩm chắc chắn nhưng không đẹp miệng tách men không đều ủng hộ cửa hàng thì cho sao,NEUTRAL,3
vải minh đẹp lắm ạ em ủng hộ cửa hàng dài dài nè,POSITIVE,4
chất mỏng dùng người tạm được,POSITIVE,4
trả lời tư vẫn người nhiệt tình nữa,NEUTRAL,3
treo đầu dê bán thịt chó,NEGATIVE,1
mọi người nên mua ạ,POSITIVE,4
rất xinh,POSITIVE,5
mình mua hanfu với sườn xám còn được tặng quà nè,POSITIVE,5
bóng dùng khá tốt,POSITIVE,4
với mức giá vậy thì quần này tốt lắm,NEUTRAL,3
chất lượng sản phẩm tạm được đóng gói sản phẩm tạm được thời gian giao hàng chậm,NEUTRAL,3
tôi thấy tốt,POSITIVE,4
mình đã nhận đươ hàng và khá là ưng ý,POSITIVE,4
chất vải áo ổn nhưng vải quần không giống chất vải ảo nên mình xin đổi lại lấy bộ khác cửa hàng rất vui ve tư vấn nhiệt tình cho cửa hàng 5sao vì phục vụ tốt,POSITIVE,4
khung ảnh đẹp chắn chắn để hình vào cùng là siêu yêu luôn chủ cửa hàng nhiệt tình dễ thương mặc dù đêm khuya vẫn nhiệt tình tư vấn sẽ ủng hộ cửa hàng dài dài,POSITIVE,5
đóng gói sản phẩm rất đẹp và chắc chắn rat tủyet,POSITIVE,5
mua hang cửa hàng nhieu lan nhung lan nay la thay that vong vi giao không dung màu minh dat 1xanh navy mau da mau trang cửa hàng het mau xanh va trang thi phai nt cho minh biet de minh thay doi ao khac chu dang nay không noi gi ma tu giao nhu vay trong khi minh da de lai chu rat ro rang,NEGATIVE,1
với tôi đánh giá sao cho cửa hàng vậy,NEUTRAL,3
còn nhiều keo và đường viết bạc,NEGATIVE,2
giày bé rất yêu,POSITIVE,5
túi đẹp nhưng hơi bé xíu,NEUTRAL,3
quâ ma mă thoa ma như không mă,POSITIVE,4
vai mong,NEGATIVE,2
nhưng trừ điểm vì giày adidas mà lót giày logo nike,NEUTRAL,3
cửa hàng cần nâng chất lượng vải lên thì sẽ ủng cửa hàng dài dài,POSITIVE,4
quần hơi xấu,NEUTRAL,3
chất lượng sản phẩm được hợp giá tiền,POSITIVE,5
không như những cửa hàng khác mình từng mua bên họ làm hư đồ mình nói đổi lại mà không thấy đâu,NEGATIVE,2
hàng đẹp nhưng bị lỗi về chốt gài không gài được,POSITIVE,4
và dài mình 53 kg nhưng vẫn rộng,NEGATIVE,2
áo hơi bự chút nhưng xinh ạ,POSITIVE,4
mã nạp nhanh,POSITIVE,4
cửa hàng lần sau giao hàng cần để nguyên bao bì vỏ hộp nhé,NEUTRAL,3
đổi qa cục này quá êm,POSITIVE,4
cửa hàng nhiệt tình,POSITIVE,5
cửa hàng giao hàng nhanh nhưng mà chỉ thừa nhiều ngắn quá và hơi mỏng hơn kỳ vọng nữa hic,NEUTRAL,3
chất lượng sản phẩm tuyệt vời rất đáng tiền giă râ nhanh khô nữa,POSITIVE,4
đóng gói sản phẩm rất đẹp và chắc chắn hàng không đẹp,NEGATIVE,2
chủ cửa hàng có tâm nhứt hmt luôn é,POSITIVE,4
đòng gói cẩn thận tư vấn dễ thương,POSITIVE,4
áo không dài như mô tả chất vải thì người ổn,NEUTRAL,3
tay áo không dài như hình nhưng người khá xinh chất liệu vải mềm mịn,POSITIVE,4
mua hai cai nhung chi sai duoc mot cai that vong va,NEGATIVE,1
nói chung là hàng ổn lắm,POSITIVE,5
ca na mă vơ quâ da tô ma thôi nhé ca ba mă anh da quâ tră người mo người đư người bon chen,NEUTRAL,3
áo đẹp chất thun mát cắt may rất cẩn thận,POSITIVE,4
trông rất xấu,NEGATIVE,1
không nên mua,NEGATIVE,1
hàng đẹp giống như hình ảnh chất lượng khá tốt sẽ tiếp tục ủng hộ cửa hàng,POSITIVE,5
mua cùng loại nhưng cái áo này loại khác,NEUTRAL,3
áo rất nhăn,NEGATIVE,2
hàng hok như hình cho lắm,NEGATIVE,1
rất đẹp,POSITIVE,5
em chẳng biết nói,NEUTRAL,3
cửa hàng giao còn thiếu bộ lót giày cho mình nhé,NEGATIVE,2
trước giờ mình mặc rất thích,POSITIVE,4
sản phẩm rất tuyệt giao hàng nhanh đóng gói cực đẹp,POSITIVE,5
đặt màu xang đen gửi màu đen,NEUTRAL,3
vải kug ổn mà không thích mặc bó sát,POSITIVE,4
tư vấn tốt,POSITIVE,4
size áo không chuẩn size 38 mà như kiểu 36 mặc rất chật thất vọng khi nhận,NEGATIVE,1
hàng đẹp và giá cả hợp lý,POSITIVE,5
đèn sáng tốt,POSITIVE,5
điểm 10 cho sự phục vụ của cửa hàng,POSITIVE,5
luc đầu chưa tin lắm chủ cửa hàng tu vấn rat nhiệt tình xài thích lắm bé rat thoải mái,POSITIVE,4
cửa hàng lựa size cho khách hàng quá chuẩn ạ,POSITIVE,5
mọi người nên nhắn tin hỏi cửa hàng tư vấn mìn ngại đổi nên ổn luôn,POSITIVE,4
áo rất cute chất vải tuyệt vời cám ơn ạ,POSITIVE,5
đóng gói sản phẩm kém mơ ra ma tem đa bi thê rô,NEGATIVE,2
sim tốt mà phục vụ người tốt,POSITIVE,5
chất lượng sản phẩm kém,NEGATIVE,1
tương đối ổn,POSITIVE,4
còn quá nhiều chỉ thừa,NEGATIVE,2
bán đồ như giẻ,NEGATIVE,1
áo đẹp chất ổn,POSITIVE,4
đóng gói sản phẩm bằng túi ni lông mỏng nên khi cắt bị cắt vào áo,NEUTRAL,3
giống như hình,POSITIVE,5
cửa hàng bảo là có thể đổi khi không vừa size bây giờ nhạn được hàng thì bảo là không đổi được,NEGATIVE,1
san phâ đẹp,POSITIVE,4
với giá tiền thì chất lượng ở mức hài lòng,POSITIVE,4
thời gian giao hàng nhanh màu áo không giống như trong hình,NEUTRAL,3
rat hai long ve sản phẩm đóng gói sản phẩm rất đẹp và chắc chắn,POSITIVE,5
đóng gói sản phẩm rất đẹp và chắc chắn,POSITIVE,5
đây là một sản phẩm rất hữu ích chất lượng tốt so với giá bán đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền,POSITIVE,5
thời gian giao hàng rất nhanh rất đáng tiền chất lượng sản phẩm tuyệt vời,POSITIVE,5
minh cao 1m55 đắp vừa tháo mền ra còn gối nằm vẫn ổn,POSITIVE,4
áo phai màu và đứt chỉ,NEGATIVE,2
ai còn phân vân thì mua ngay đi này,POSITIVE,4
về sửa người ổn 3sao vì bị bẩn chút ngay chỗ áo ngực giặt không sạch chất lượng sản phẩm tạm được,NEUTRAL,3
có màu khác nữa thì đẹp,NEUTRAL,3
đóng gói san đóng gói sản phẩm không đẹp một điều tồi tệ là giao hàng không đủ còn thiếu một hàng mà cửa hàng lại lấy đủ tiền không có hàng thì cửa hàng bảo không có đi,NEGATIVE,2
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt rất đáng tiền rất đáng tiền thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh,POSITIVE,5
chưa sử dụng thử nhưng vẫn cho cửa hàng vì đóng gói rất chắc chắn,POSITIVE,5
hết sức ưng ý,POSITIVE,5
chất lượng sản phẩm rất kém áo thân bên to nhỏ không đều nẹp áo may nhăn nhúm vải rất xấu mua 3bộ chỉ 1bộ tạm ổn với giá tiền,NEGATIVE,1
nhưng áo dày được,POSITIVE,4
áo tuyệt vời,POSITIVE,5
tuy không đúng hàng nhưng người phải đủ chứ,NEGATIVE,1
dép rất đẹp hình điểm trừ bé tẹo là hơi bẩn xí ở phần nơ nhưng không sao mình vẫn ưng ý lắm,POSITIVE,4
đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền thời gian giao hàng rất nhanh,POSITIVE,5
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền cửa hàng phục vụ rất tốt,POSITIVE,5
good,POSITIVE,4
size mặc hơi bị chật vai tay,NEUTRAL,3
túi dày dặn chắc chắn nhưng trừ vì đã note trong lưu ý là cho màu xanh nhưng cửa hàng gửi màu đỏ mà không confirm lại trước cho khách,POSITIVE,4
đẹp nhưng đế hơi cứng đi lâu dễ đau chân,NEUTRAL,3
không tra lơ câu hơi cu anh kha ch,NEGATIVE,1
chỉ có đường chỗ phần nẹp ở eo may không đều nhau lắm có xíu vết dơ cỡ 1cm sau áo,NEUTRAL,3
chất lượng sản phẩm tuyệt vời mỗi tội hơi dài tí,POSITIVE,4
chất oki,NEUTRAL,3
màu thiên về cam chứ không hồng như ảnh,NEGATIVE,2
cho cửa hàng 100 điê,POSITIVE,5
đã nhận được hàng thời gian giao hàng nhanh,POSITIVE,4
mình 1m63 52kg mà mặc quần ôm lắm ngồi xuống là rách luôn,NEUTRAL,3
đặt theo tư vấn size nhưng eo rộng so với mình,NEUTRAL,3
thời gian giao hàng tạm được,NEUTRAL,3
chủ cửa hàng nhiệt tình áo không ưng í lắm gặp phải ông shiper không ra gì,NEGATIVE,2
chất vải bao mịn đẹp rất rất rất ưng ý,POSITIVE,5
hai long,POSITIVE,4
bạn nào dùng chơi thì mua vẫn ổn,NEUTRAL,3
mỗi tội size bé nhất rồi mà vẫn rộng,NEUTRAL,3
hơn bé,NEUTRAL,3
mặc rất ổn,POSITIVE,4
tuy nhiên chất lượng hàng không đạt yêu cầu vải xấu đường may không đẹp chỉ thừa và lỗi nhiều màu in bị lem áo bị ố màu,NEGATIVE,2
hài lòng với sản phẩm,POSITIVE,4
đúng kiểu ullzang hàn quốc sang chảnh nên mình thíc lắm ahihi,POSITIVE,5
chất lượng sảnphẩm tot tiep tuc phat huy nhé cửa hàng,POSITIVE,5
ma hơi kha vơ hi nh nhưng tha đô phu vu cu anh cửa hàng ổn,NEUTRAL,3
chất liệu vải rất tốt cửa hàng dễ thương lắm ạh,POSITIVE,5
kích hoạt thành công,NEUTRAL,3
cửa hàng lại giao lyly,NEUTRAL,3
áo đẹp mềm nhưng hơi hôi keo đóng gói sản phẩm rất đẹp và chắc chắn,NEUTRAL,3
hàng đẹp hình,POSITIVE,5
cửa hàng cứ bán hàng hình thế này thì sẽ ủng hộ nhiều,POSITIVE,4
chất lượng áo quá tốt so với giá tiền,POSITIVE,5
có điều áo hơi nhiều bụi vải tí,NEUTRAL,3
tặng cửa hàng sao,POSITIVE,5
giao đúng màu ạ,NEUTRAL,3
vải cực kì mịn,POSITIVE,4
mẫu dep nhung vai kg dep,NEUTRAL,3
không như hình đăng,NEGATIVE,2
màu siêu yêu,POSITIVE,5
nên sư anh la ca ch phu vu,NEGATIVE,1
quần chỉ không được chắc chắn,NEGATIVE,2
áo này ai eo con kiến mặc siêu đẹp,NEUTRAL,3
sẽ ủng hộ nữa,POSITIVE,5
rất đẹp tuyệt vời,POSITIVE,5
tiền nào của đó thôi ak,NEUTRAL,3
chất vải và đường may quá kém chưa mặc đã bung hết ra,NEGATIVE,1
giày hơi lỗi tý đóng gói tốt giao hàng nhanh và anh giao hàng hàng vui tính không bt đọc tên giày,POSITIVE,4
gói hàng siêu cẩn thận giao hàng nhanh chất lượng sản phẩm tốt,POSITIVE,5
đầm rất đẹp,POSITIVE,5
hàng chất lượng yêu cửa hàng nhiều,POSITIVE,5
balo nhỏ hơn nhiều so với số đo trong phần giới thiệu sản phẩm vải mềm dễ thấm nước vải quá mềm và mỏng khiến balo không đứng được khá thất vọng khi nhận được sản phẩm,NEGATIVE,1
ngăn hơi nhỏ,NEUTRAL,3
màu sắc đẹp chất vải nóng,NEUTRAL,3
mình mua đến lần thứ,POSITIVE,5
mỏng hơn cái ở nhà,NEGATIVE,2
đặt mẫu bé trai size thì giao bộ của bé gái bộ size,NEGATIVE,2
sản phẩm đep giao hang nhanh,POSITIVE,5
áo đẹp giá hợp lí,POSITIVE,4
cha đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt rất đáng tiền,POSITIVE,5
đóng gói sản phẩm tồi như của vất đi,NEGATIVE,1
chất vãi dày đáng tiền,POSITIVE,4
gửi thiếu hàng áo thì vải quá xấu,NEGATIVE,1
vừa in,NEUTRAL,3
sản phẩm đúng như mô tả rất đẹp giao hàng nhanh,POSITIVE,5
cửa hàng này rất ưng ý lần thứ mua đồ ưng quay lại lần mua tiếp và còn có nhiều lần nữa sẽ mua đồ của cửa hàng,POSITIVE,5
thời gian giao hàng rất nhanh cửa hàng phục vụ rất tốt đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời,POSITIVE,5
thankss cửa hàng nhiều nhé,POSITIVE,5
ngươ bán nói chuyện rất dể thuong,POSITIVE,4
áo len rất to,NEUTRAL,3
không lượng kém đóng gói sản phẩm kém không đáng tiền,NEGATIVE,1
ai 46kg do xuống thì mặc rộng,POSITIVE,4
cửa hàng phục vụ rất tốt ạ,POSITIVE,5
áo siêu đẹp,POSITIVE,5
hộp pin không vừa pin,NEUTRAL,3
đặt màu đen gửi màu da,NEUTRAL,3
anh qua đe so vơ gia,POSITIVE,5
chất lượng áo tạm được,NEUTRAL,3
dáng không đẹp ống quần cổ chân quá to,NEGATIVE,1
hàng rất đẹp chất nhẹ rất mát,POSITIVE,5
hàng giống hình bề măt túi hoi cứng,POSITIVE,4
hàng xuất nên rộng lắm,NEUTRAL,3
chất rất đẹp,POSITIVE,4
chất lượng sản phẩm tuyệt vời uống ngon,POSITIVE,5
sản phẩm rất đẹp mặc rất vừa vặn,POSITIVE,5
nói chung ổn,NEUTRAL,3
mua hàng cửa hàng nhiều lần rồi lúc nào người hài lòng,POSITIVE,4
áoo đẹp vải ổn,POSITIVE,4
sai mẫu áo,NEGATIVE,2
thời gian giao hàng rất nhanh đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời rất đáng tiền,POSITIVE,5
áo len dầy lắm anh dạo này sài gòn đang nắng không biết khi nào mới mặc được ạ,POSITIVE,5
còn tính năng khác cần thời gian thể nghiệm,POSITIVE,4
chất lượng sản phẩm tuyệt vời được tặng thêm đôi tất nữa yêu cửa hàng mọi người mua đi váy mạc lên xinh lắm,POSITIVE,5
sản phẩm hơi gião không tốt lắm chắc giặt nó sẽ dài ra mất,NEGATIVE,2
chất vải đẹp lên dáng chuẩn,POSITIVE,5
giao sai màu,NEUTRAL,3
thank cửa hàng nhé,POSITIVE,5
chất lượng sản phẩm tốt cửa hàng phục vụ khá tốt đáng đồng tiền,POSITIVE,5
hàng chấp nhận được so với giá,POSITIVE,4
tính ra chả đươck khuyến mãi gì cả,NEUTRAL,3
vải hơi thô,NEUTRAL,3
chát vải đẹp và phải chăng,POSITIVE,4
eo hơi rộng nhưng vẫn cho sao vì đẹp,POSITIVE,4
len rất mịn và mềm,POSITIVE,5
chất vải dày dặn không phải loại mỏng đâu ạ nói chung xứng đáng đồng tiền bát gạo còn được cửa hàng tặng quà nữa sẽ ủng hộ dài,POSITIVE,5
rất ưng ý luôn ạ,POSITIVE,5
chất đẹp mỗi tội chiều dài hơi ngắn,POSITIVE,4
vải mỏng kéo phát là dãn,NEGATIVE,1
thiếu một món hàng charm đuôi cá,NEGATIVE,2
mình chưa bàn đến chất lượng nhưng cửa hàng giao sai yêu cầu,NEGATIVE,2
chất lượng sản phẩm tốt vải hơi mỏng,POSITIVE,4
bên trong xấu,NEGATIVE,1
chất lượng sản phẩm rất kém,NEGATIVE,1
chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh,POSITIVE,5
